"","fold0","fold1","fold2"
"CHEMBL1614197",0.5743243243,0.14,0.5384615385
"CHEMBL2354228",0.8406827881,0.6166666667,0.7631578947
"CHEMBL1737978",0.4481481481,0.5478806907,0.5898004435
"CHEMBL2363383",0.7688888889,0.785440613,0.8454545455
"CHEMBL2363656",0.7867132867,0.7366071429,0.6793478261
"CHEMBL1614225",0.6683046683,0.6458333333,0.7157894737
"CHEMBL1738400",0.6753246753,0.9622093023,0.8977272727
"CHEMBL1738679",0.5690789474,0.7315789474,0.4671052632
"CHEMBL1738043",0.4901960784,0.6587436333,0.7462365591
"CHEMBL1738202",0.9782608696,0.9909090909,0.7368421053
"CHEMBL1614550",0.4821428571,0.4968553459,0.5021276596
"CHEMBL2363390",0.6856187291,0.7111111111,0.4814814815
"CHEMBL1737977",0.7523809524,0.8194444444,0.8526315789
"CHEMBL2114823",0.6244444444,0.3405797101,0.4217687075
"CHEMBL1243978",0.6364522417,0.5833333333,0.4545454545
"CHEMBL2363839",0.6166666667,0.3925,0.5982142857
"CHEMBL1243969",0.634375,0.6666666667,0.675
"CHEMBL3215034",0.6379310345,0.5404040404,0.5466666667
"CHEMBL914418",0.6805555556,0.7551020408,0.7619047619
"CHEMBL1738197",0.4827586207,0.6602787456,0.7844444444
"CHEMBL698689",0.5133333333,0.4615384615,0.4615384615
"CHEMBL2363707",0.6373626374,0.6431372549,0.7487179487
"CHEMBL2363795",0.690625,0.6520467836,0.8571428571
"CHEMBL3215176",0.6909090909,0.5231481481,0.527173913
"CHEMBL1614329",0.6302521008,0.7040229885,0.5782828283
"CHEMBL1676103",0.8680555556,0.6984126984,0.7620689655
"CHEMBL3214997",0.7271634615,0.5660377358,0.5954415954
"CHEMBL2363695",0.6871345029,0.5852941176,0.7703703704
"CHEMBL1794393",0.8606237817,0.8576923077,0.7795163585
"CHEMBL1243975",0.6363636364,0.7666666667,0.875
"CHEMBL830839",1,1,1
"CHEMBL2363315",0.6493506494,0.5879120879,0.6447368421
"CHEMBL1614117",0.7697368421,0.6770833333,0.4444444444
"CHEMBL1737951",0.76875,0.651891253,0.7484375
"CHEMBL1614065",0.3931034483,0.4633333333,0.5966666667
